# Metadata file CSV - AWS (Automatic Weather Station)
# Dibuat oleh: Firly Hafiz Syahreza
# Tanggal pembuatan: 7 Januari 2025
# Deskripsi: File ini berisi data pengukuran parameter cuaca dari Automatic Weather Station (AWS) di lokasi pengamatan.
# Sumber data: Logsheet Excel yang telah dikonversi ke format CSV.
# Lokasi: Pulau Pramuka, Kepulauan Seribu
# Periode pengamatan: 14 Juli 2024 - 22 Juli 2024
# Format waktu: Waktu lokal (WIB)
# Penjelasan kolom:
# - Tahun: Tahun pengamatan.
# - Bulan: Bulan pengamatan.
# - Tanggal: Tanggal pengamatan.
# - Waktu: Waktu pengamatan (format HH:MM:SS).
# - Keceptan Angin (m/s): Kecepatan angin dalam m/s.
# - Arah angin (°): Arah angin dalam derajat.
# - Temperatur (°C) In: Suhu udara dalam derajat Celsius.
# - Temperatur (°C) Out: Suhu udara dalam derajat Celsius.
# - Kelembapan (%) In: Kelembapan udara dalam persen.
# - Kelembapan (%) Out: Kelembapan udara dalam persen.
# - Curah Hujan: Curah hujan dalam mm.
# - Tekanan (hpa): Tekanan udara dalam hPa (hektopascal).
Tahun,Bulan,Tanggal,Waktu,Kecepatan Angin (m/s),Arah angin (⁰),Temperatur(℃) In,Temperatur(℃) Out,Kelembapan (%) In,Kelembapan (%) Out,Curah Hujan,Tekanan (hpa)
2024,7,14,18.00.00,nan,nan,nan,nan,nan,nan,nan,nan
2024,7,14,18.15.00,nan,nan,nan,nan,nan,nan,nan,nan
2024,7,14,18.30.00,nan,nan,nan,nan,nan,nan,nan,nan
2024,7,14,18.45.00,nan,nan,nan,nan,nan,nan,nan,nan
2024,7,14,19.00.00,0.65,52.0,35,29,61,65,0.0,757.3
2024,7,14,19.15.00,1.35,54.0,30,29,62,64,0.0,757.4
2024,7,14,19.30.00,0.65,34.0,29,29,63,65,0.0,757.5
2024,7,14,19.45.00,1.3,47.0,28,29,63,64,0.0,757.5
2024,7,14,20.00.00,0.65,56.0,28,29,64,64,0.0,757.8
2024,7,14,20.15.00,1.1,58.0,28,29,64,64.5,0.0,757.9
2024,7,14,20.30.00,1.3,58.0,28,29,64.5,67,0.0,757.95
2024,7,14,20.45.00,1.55,58.0,28,29,65,67,0.0,758.05
2024,7,14,21.00.00,1.55,59.0,28,29,64,67,0.0,758.1
2024,7,14,21.15.00,1.3,55.0,28,29,65,68,0.0,758.1
2024,7,14,21.30.00,1.1,60.0,28,29,65,68,0.0,758.1
2024,7,14,21.45.00,1.35,65.0,28,29,65,67,0.0,758.2
2024,7,14,22.00.00,1.1,54.0,28,29,65,66,0.0,758.3
2024,7,14,22.15.00,0.65,62.0,27,29,65,67,0.0,758.2
