# Metadata file CSV - PASUT (Pasang Surut)
# Dibuat oleh: Firly Hafiz Syahreza
# Tanggal pembuatan: 7 Januari 2025
# Deskripsi: File ini berisi data pengukuran pasang surut air laut dari lokasi pengamatan.
# Sumber data: Logsheet Excel yang telah dikonversi ke format CSV.
# Lokasi: Pulau Pramuka, Kepulauan Seribu
# Periode pengamatan: 14 Juli 2024 - 22 Juli 2024
# Format waktu: Waktu lokal (WIB)
# Penjelasan kolom:
# - Tahun: Tahun pengamatan.
# - Bulan: Bulan pengamatan.
# - Tanggal: Tanggal pengamatan.
# - Waktu: Waktu pengamatan (format HH:MM:SS).
# - PASANG SURUT Batas Atas (cm): Tinggi pasang surut batas atas dalam cm.
# - PASANG SURUT Batas Bawah (cm): Tinggi pasang surut batas bawah dalam cm.
# - PASANG SURUT Rata-Rata (cm): Rata-rata tinggi pasang surut dalam cm.
Tahun,Bulan,Tanggal,Waktu,PASANG SURUT Batas Atas (cm),PASANG SURUT Batas Bawah (cm),PASANG SURUT Rata-Rata (cm)
2024,7,14,18.00.00,67,70,68.5
2024,7,14,18.15.00,67,68,67.5
2024,7,14,18.30.00,69,70,69.5
2024,7,14,18.45.00,70,72,71
2024,7,14,19.00.00,66,76,71
2024,7,14,19.15.00,70,73,71.5
2024,7,14,19.30.00,73,75,74
2024,7,14,19.45.00,68,69,68.5
2024,7,14,20.00.00,73,74,73.5
2024,7,14,20.15.00,73,77,75
2024,7,14,20.30.00,70,74,72
2024,7,14,20.45.00,66,70,68
2024,7,14,21.00.00,72,74,73
2024,7,14,21.15.00,68,75,71.5
2024,7,14,21.30.00,67,73,70
2024,7,14,21.45.00,65,66,65.5
2024,7,14,22.00.00,65,66,65.5
2024,7,14,22.15.00,65,69,67
2024,7,14,22.30.00,62,66,64
2024,7,14,22.45.00,54,58,56
2024,7,14,23.00.00,61,63,62
2024,7,14,23.15.00,56,60,58
2024,7,14,23.30.00,55,58,56.5
2024,7,14,23.45.00,52,53,52.5
2024,7,15,00.00.00,55,51,53
2024,7,15,00.15.00,54.5,50,52.25
2024,7,15,00.30.00,53.5,49,51.25
2024,7,15,00.45.00,51.5,49.5,50.5
2024,7,15,01.00.00,48,47.5,47.75
2024,7,15,01.15.00,47,45.5,46.25
2024,7,15,01.30.00,45,43.5,44.25
2024,7,15,01.45.00,41,37.5,39.25
2024,7,15,02.00.00,40,39.5,39.75
2024,7,15,02.15.00,39,38.5,38.75
2024,7,15,02.30.00,40.5,36.5,38.5
2024,7,15,02.45.00,36.5,32.5,34.5
2024,7,15,03.00.00,37.5,35.5,36.5
2024,7,15,03.15.00,35,32.5,33.75
2024,7,15,03.30.00,36,34,35
2024,7,15,03.45.00,33.5,31,32.25
2024,7,15,04.00.00,33,29,31
2024,7,15,04.15.00,32.5,30.5,31.5
2024,7,15,04.30.00,31,27,29
2024,7,15,04.45.00,31.5,26.5,29
2024,7,15,05.00.00,28.5,27.5,28
2024,7,15,05.15.00,31.5,30,30.75
2024,7,15,05.30.00,28,26,27
2024,7,15,05.45.00,28.75,26,27.375
2024,7,15,06.00.00,26.5,28,27.25
2024,7,15,06.15.00,26,27,26.5
2024,7,15,06.30.00,28,30.5,29.25
2024,7,15,06.45.00,27.5,29,28.25
2024,7,15,07.00.00,30.5,31.5,31
2024,7,15,07.15.00,28,30.5,29.25
2024,7,15,07.30.00,29.5,34,31.75
2024,7,15,07.45.00,31,33.5,32.25
2024,7,15,08.00.00,32,35.5,33.75
2024,7,15,08.15.00,30.5,35.5,33
2024,7,15,08.30.00,32,38.5,35.25
2024,7,15,08.45.00,32.5,34,33.25
2024,7,15,09.00.00,36,39,37.5
2024,7,15,09.15.00,33.5,35,34.25
2024,7,15,09.30.00,33.5,37.5,35.5
2024,7,15,09.45.00,31,35.5,33.25
2024,7,15,10.00.00,30,35,32.5
2024,7,15,10.15.00,33,38.5,35.75
2024,7,15,10.30.00,33.5,39,36.25
2024,7,15,10.45.00,34,39,36.5
2024,7,15,11.00.00,33.5,40,36.75
2024,7,15,11.15.00,36,40,38
2024,7,15,11.30.00,32,40,36
2024,7,15,11.45.00,34,37.5,35.75
2024,7,15,12.00.00,38.5,37,37.75
2024,7,15,12.15.00,38,36,37
2024,7,15,12.30.00,39,37,38
2024,7,15,12.45.00,38.5,37.5,38
2024,7,15,13.00.00,40.5,39.5,40
2024,7,15,13.15.00,40.5,39.5,40
2024,7,15,13.30.00,41.5,41,41.25
2024,7,15,13.45.00,43.5,42,42.75
2024,7,15,14.00.00,44,42.5,43.25
2024,7,15,14.15.00,47,44.5,45.75
2024,7,15,14.30.00,50,48,49
2024,7,15,14.45.00,51,49.5,50.25
2024,7,15,15.00.00,48.5,44.5,46.5
2024,7,15,15.15.00,50.5,49,49.75
2024,7,15,15.30.00,53.5,46,49.75
2024,7,15,15.45.00,53.5,51,52.25
2024,7,15,16.00.00,53,51.5,52.25
2024,7,15,16.15.00,59,55,57
2024,7,15,16.30.00,61,57,59
2024,7,15,16.45.00,58,57,57.5
2024,7,15,17.00.00,59,53,56
2024,7,15,17.15.00,62.5,60,61.25
2024,7,15,17.30.00,67,61,64
2024,7,15,17.45.00,63,61.5,62.25
2024,7,15,18.00.00,63.5,64.5,64
2024,7,15,18.15.00,62.5,67,64.75
2024,7,15,18.30.00,64.5,71,67.75
2024,7,15,18.45.00,67,70,68.5
2024,7,15,19.00.00,68,70,69
2024,7,15,19.15.00,67,69,68
2024,7,15,19.30.00,68,68,68
2024,7,15,19.45.00,71,72,71.5
2024,7,15,20.00.00,71,72,71.5
2024,7,15,20.15.00,72,72,72
2024,7,15,20.30.00,76,80,78
2024,7,15,20.45.00,75,81,78
2024,7,15,21.00.00,76,78,77
2024,7,15,21.15.00,73,77,75
2024,7,15,21.30.00,69,72,70.5
2024,7,15,21.45.00,69,73,71
2024,7,15,22.00.00,64,68,66
2024,7,15,22.15.00,60,69,64.5
2024,7,15,22.30.00,61,71,66
2024,7,15,22.45.00,57,66,61.5
2024,7,15,23.00.00,52,62,57
2024,7,15,23.15.00,47,53,50
2024,7,15,23.30.00,48,59,53.5
2024,7,15,23.45.00,44,55,49.5
2024,7,16,00.00.00,49,43,46
2024,7,16,00.15.00,45.5,41,43.25
2024,7,16,00.30.00,47,37,42
2024,7,16,00.45.00,44,35.5,39.75
2024,7,16,01.00.00,42,33,37.5
2024,7,16,01.15.00,40,32,36
2024,7,16,01.30.00,31,23.5,27.25
2024,7,16,01.45.00,32,21,26.5
2024,7,16,02.00.00,32.5,22,27.25
2024,7,16,02.15.00,23,16,19.5
2024,7,16,02.30.00,25,17,21
2024,7,16,02.45.00,23,16,19.5
2024,7,16,03.00.00,18,15,16.5
2024,7,16,03.15.00,21.5,15,18.25
2024,7,16,03.30.00,15,12,13.5
2024,7,16,03.45.00,14,7.5,10.75
2024,7,16,04.00.00,9,7,8
2024,7,16,04.15.00,10.5,9,9.75
2024,7,16,04.30.00,7.5,4.5,6
2024,7,16,04.45.00,11,6,8.5
2024,7,16,05.00.00,14.5,7,10.75
2024,7,16,05.15.00,11.5,7,9.25
2024,7,16,05.30.00,11,6,8.5
2024,7,16,05.45.00,9.5,8,8.75
2024,7,16,06.00.00,6,10,8
2024,7,16,06.15.00,9,14,11.5
2024,7,16,06.30.00,9,14,11.5
2024,7,16,06.45.00,8,22,15
2024,7,16,07.00.00,8,12.5,10.25
2024,7,16,07.15.00,13,20.5,16.75
2024,7,16,07.30.00,13,28,20.5
2024,7,16,07.45.00,14,25.5,19.75
